Column,Question
BST_Overall,"On a scale of 1 to 3, 1 being the lowest and 3 being the highest, please rate your view on mobile banking service? [Overall Trust]"
BST_banks,"On a scale of 1 to 3, 1 being the lowest and 3 being the highest, please rate your view on mobile banking service? [Trust in banks]"
BST_technology,"On a scale of 1 to 3, 1 being the lowest and 3 being the highest, please rate your view on mobile banking service? [Trust in the technology of mobile banking]"
BST_thirdparty,"On a scale of 1 to 3, 1 being the lowest and 3 being the highest, please rate your view on mobile banking service? [Trust in third party agent (e.g., pay outlet, cash-out point]"
Security,"On a scale of 1 to 3, 1 being the lowest and 3 being the highest, please rate your view on mobile banking service? [Security from fraud]"
Usage,"On a scale of 1 to 3, 1 being the lowest and 3 being the highest, please rate your view on mobile banking service? [Ease of use]"
Cost,"On a scale of 1 to 3, 1 being the lowest and 3 being the highest, how would you rate the following benefits of Mobile Banking? [Cost saving (Lower rates, transaction fees) 1 2 3 4 5]"
Time,"On a scale of 1 to 3, 1 being the lowest and 3 being the highest, how would you rate the following benefits of Mobile Banking? [Time saving (no need to go to bank or ATM)]"
Access,"On a scale of 1 to 3, 1 being the lowest and 3 being the highest, how would you rate the following benefits of Mobile Banking? [24 h Access (can make transaction any time)]"
Physical_security,"On a scale of 1 to 3, 1 being the lowest and 3 being the highest, how would you rate the following benefits of Mobile Banking? [Physical security (no need to go out with cash)]"
Specifics,"On a scale of 1 to 3, 1 being the lowest and 3 being the highest, how would you rate the following benefits of Mobile Banking? [Others (please specify)_________]"
LTC_Importance,Please rate how important the following reasons are for you to consider using mobile banking (Single Coding for each option): 1 is Very Important to 3 which is Not Important At All [Lower transaction costs]
SFF_Importance,Please rate how important the following reasons are for you to consider using mobile banking (Single Coding for each option): 1 is Very Important to 3 which is Not Important At All [Security from fraud]
PS_Importance,Please rate how important the following reasons are for you to consider using mobile banking (Single Coding for each option): 1 is Very Important to 3 which is Not Important At All [Physical security]
Feedback_Importance,Please rate how important the following reasons are for you to consider using mobile banking (Single Coding for each option): 1 is Very Important to 3 which is Not Important At All [Safe transaction with feedback on transfer (e.g. sms)]
Range_Importance,Please rate how important the following reasons are for you to consider using mobile banking (Single Coding for each option): 1 is Very Important to 3 which is Not Important At All [Wide acceptance of mobile money]
TA__Importance,Please rate how important the following reasons are for you to consider using mobile banking (Single Coding for each option): 1 is Very Important to 3 which is Not Important At All [More locations I can cash-out my money]
Specific_Importance,Please rate how important the following reasons are for you to consider using mobile banking (Single Coding for each option): 1 is Very Important to 3 which is Not Important At All [Other (specify)]
